Month,Geography,Estimate,North American Industry Classification System (NAICS),Value,Monthly Change,Yearly change,Indexed value
Jan 2010,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,764.80",  4.3%,  3.1%,100.0
Feb 2010,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,798.60",  1.9%,  3.0%,101.9
Mar 2010,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,858.88",  3.4%,  3.6%,105.3
Apr 2010,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,927.11",  3.7%, 11.6%,109.2
May 2010,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,912.10", -0.8%,  8.3%,108.3
Jun 2010,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,851.33", -3.2%,  1.1%,104.9
Jul 2010,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,936.41",  4.6%, 13.7%,109.7
Aug 2010,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,912.49", -1.2%, 17.9%,108.4
Sep 2010,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,848.78", -3.3%, 10.8%,104.8
Oct 2010,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,848.53",  0.0%, 11.4%,104.7
Nov 2010,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,843.41", -0.3%, 10.1%,104.5
Dec 2010,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,789.53", -2.9%,  5.7%,101.4
Jan 2011,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,882.48",  5.2%,  6.7%,106.7
Feb 2011,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,822.41", -3.2%,  1.3%,103.3
Mar 2011,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,821.29", -0.1%, -2.0%,103.2
Apr 2011,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,860.76",  2.2%, -3.4%,105.4
May 2011,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,849.12", -0.6%, -3.3%,104.8
Jun 2011,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,922.62",  4.0%,  3.9%,108.9
Jul 2011,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,849.03", -3.8%, -4.5%,104.8
Aug 2011,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,897.99",  2.6%, -0.8%,107.5
Sep 2011,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,872.20", -1.4%,  1.3%,106.1
Oct 2011,Alberta,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,933.84",  3.3%,  4.6%,109.6
