Month,Geography,Industry,Business dynamics measure,Value,Monthly Change,Yearly change,Indexed value
Jan 2015,Alberta ,Business sector industries [T004],Active businesses,"126,863",..,..,100.0
Feb 2015,Alberta ,Business sector industries [T004],Active businesses,"126,907", 0.0%,..,100.0
Mar 2015,Alberta ,Business sector industries [T004],Active businesses,"127,077", 0.1%,..,100.2
Apr 2015,Alberta ,Business sector industries [T004],Active businesses,"126,959",-0.1%,..,100.1
May 2015,Alberta ,Business sector industries [T004],Active businesses,"127,128", 0.1%,..,100.2
Jun 2015,Alberta ,Business sector industries [T004],Active businesses,"126,517",-0.5%,.., 99.7
Jul 2015,Alberta ,Business sector industries [T004],Active businesses,"126,217",-0.2%,.., 99.5
Aug 2015,Alberta ,Business sector industries [T004],Active businesses,"126,222", 0.0%,.., 99.5
Sep 2015,Alberta ,Business sector industries [T004],Active businesses,"125,696",-0.4%,.., 99.1
Oct 2015,Alberta ,Business sector industries [T004],Active businesses,"125,234",-0.4%,.., 98.7
Nov 2015,Alberta ,Business sector industries [T004],Active businesses,"125,150",-0.1%,.., 98.6
Dec 2015,Alberta ,Business sector industries [T004],Active businesses,"124,662",-0.4%,.., 98.3
Jan 2016,Alberta ,Business sector industries [T004],Active businesses,"126,224", 1.3%, -0.5%, 99.5
Feb 2016,Alberta ,Business sector industries [T004],Active businesses,"123,743",-2.0%, -2.5%, 97.5
Mar 2016,Alberta ,Business sector industries [T004],Active businesses,"123,117",-0.5%, -3.1%, 97.0
Apr 2016,Alberta ,Business sector industries [T004],Active businesses,"122,845",-0.2%, -3.2%, 96.8
May 2016,Alberta ,Business sector industries [T004],Active businesses,"122,147",-0.6%, -3.9%, 96.3
Jun 2016,Alberta ,Business sector industries [T004],Active businesses,"121,847",-0.2%, -3.7%, 96.0
Jul 2016,Alberta ,Business sector industries [T004],Active businesses,"121,470",-0.3%, -3.8%, 95.7
Aug 2016,Alberta ,Business sector industries [T004],Active businesses,"121,111",-0.3%, -4.0%, 95.5
Sep 2016,Alberta ,Business sector industries [T004],Active businesses,"120,699",-0.3%, -4.0%, 95.1
Oct 2016,Alberta ,Business sector industries [T004],Active businesses,"120,494",-0.2%, -3.8%, 95.0
Nov 2016,Alberta ,Business sector industries [T004],Active businesses,"120,330",-0.1%, -3.9%, 94.9
Dec 2016,Alberta ,Business sector industries [T004],Active businesses,"120,527", 0.2%, -3.3%, 95.0
Jan 2017,Alberta ,Business sector industries [T004],Active businesses,"120,800", 0.2%, -4.3%, 95.2
Feb 2017,Alberta ,Business sector industries [T004],Active businesses,"121,167", 0.3%, -2.1%, 95.5
Mar 2017,Alberta ,Business sector industries [T004],Active businesses,"120,101",-0.9%, -2.4%, 94.7
Apr 2017,Alberta ,Business sector industries [T004],Active businesses,"120,219", 0.1%, -2.1%, 94.8
