Month,Geography,Estimate,North American Industry Classification System (NAICS),Value,Monthly Change,Yearly change,Indexed value
Jan 2011,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Feb 2011,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Mar 2011,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Apr 2011,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
May 2011,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jun 2011,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jul 2011,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Aug 2011,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Sep 2011,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Oct 2011,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Nov 2011,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Dec 2011,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jan 2012,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,336.22",..,..,100.0
Feb 2012,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,313.41", -1.7%,.., 98.3
Mar 2012,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,336.82",  1.8%,..,100.0
Apr 2012,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,328.93", -0.6%,.., 99.5
May 2012,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,313.14", -1.2%,.., 98.3
Jun 2012,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,358.12",  3.4%,..,101.6
Jul 2012,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,292.50", -4.8%,.., 96.7
Aug 2012,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,370.61",  6.0%,..,102.6
Sep 2012,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,331.96", -2.8%,.., 99.7
