Month,Geography,Estimate,North American Industry Classification System (NAICS),Value,Monthly Change,Yearly change,Indexed value
Jan 2011,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  720.44, -2.3%,  3.9%,100.0
Feb 2011,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  723.20,  0.4%,  2.4%,100.4
Mar 2011,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  746.01,  3.2%,  5.4%,103.5
Apr 2011,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  748.33,  0.3%,  6.0%,103.9
May 2011,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  744.98, -0.4%,  3.2%,103.4
Jun 2011,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  766.92,  2.9%,  5.0%,106.5
Jul 2011,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  735.95, -4.0%,  2.2%,102.2
Aug 2011,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  736.12,  0.0%,  3.4%,102.2
Sep 2011,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  743.62,  1.0%,  4.5%,103.2
Oct 2011,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  750.56,  0.9%,  7.0%,104.2
Nov 2011,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  758.91,  1.1%,  4.3%,105.3
Dec 2011,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  747.71, -1.5%,  1.4%,103.8
Jan 2012,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  717.28, -4.1%, -0.4%, 99.6
Feb 2012,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  734.85,  2.4%,  1.6%,102.0
Mar 2012,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  728.96, -0.8%, -2.3%,101.2
Apr 2012,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  739.04,  1.4%, -1.2%,102.6
May 2012,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  759.95,  2.8%,  2.0%,105.5
Jun 2012,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  738.15, -2.9%, -3.8%,102.5
Jul 2012,Quebec,Average weekly earnings including overtime for all employees,Health care and social assistance,$  739.43,  0.2%,  0.5%,102.6
