Products and product groups 4,Shelter ,,,,,,,,,,,,
Geography,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Newfoundland and Labrador,139.9,144.8,147.7,150,150.1,152.2,155.7,161,163.4,165.2,169.3,180.2,189.1
Prince Edward Island,128.9,129.9,133,135.2,131.8,131.4,133.8,138.2,139,137.8,149.5,168.6,172.5
Nova Scotia,131.2,135.2,138.1,141.1,139.7,139.4,141.7,146.1,149.2,150,157.2,170.7,179.9
New Brunswick,125,125.8,126.8,129.2,129.5,131.7,134.6,137.5,140.2,142.1,147.1,157.6,164.7
Quebec,123.1,125.1,126.3,128.1,128.7,129.8,131,133,135.6,137.6,142.1,150.8,160.2
Ontario,123.1,125,126.9,131.5,134.5,138.1,140.4,142.7,147,150.1,156.5,167.6,176.4
Manitoba,125.1,127.5,131.5,135.4,137.8,140.6,144.4,148.8,153.5,156.1,163.3,175.7,184.6
Saskatchewan,143.9,146.7,149.4,154.4,158.7,160.5,163.5,167.4,170.4,171.9,173.2,182.2,193.6
Alberta,152.1,152.5,156.3,162.5,162.9,162.5,164.6,168.3,172.3,174.6,180.2,192.1,204.7
British Columbia,114.3,114.2,113.3,114.2,114.1,115.7,118.7,122.5,125.4,127.2,132.7,142.8,150.9
"Whitehorse, Yukon 6",134.8,139.3,143.5,147.2,143.7,144.3,147.9,154,160.7,167.5,173.3,185.8,198.9
"Yellowknife, Northwest Territories 6",140.5,144.5,146.8,150.8,150.1,149.7,150.9,157,159.9,160.5,163.8,176.4,183.6
"Iqaluit, Nunavut 7",..,..,..,..,..,..,..,..,..,..,..,..,..
